iter	Passed	Remaining
845	83216	157874
846	83320	157788
847	83441	157732
848	83546	157646
849	83652	157562
850	83762	157484
851	83868	157400
852	83972	157313
853	84077	157227
854	84184	157143
855	84293	157064
856	84391	156966
857	84497	156881
858	84605	156801
859	84716	156725
860	84828	156652
861	84937	156573
862	85040	156482
863	85152	156408
864	85258	156323
865	85365	156240
866	85469	156152
867	85582	156080
868	85681	155982
869	85785	155892
870	85892	155809
871	85997	155723
872	86112	155653
873	86220	155571
874	86327	155487
875	86433	155401
876	86539	155316
877	86644	155229
878	86754	155151
879	86861	155067
880	86968	154984
881	87073	154896
882	87179	154810
883	87284	154722
884	87389	154635
885	87494	154547
886	87603	154466
887	87710	154383
888	87817	154298
889	87926	154217
890	88042	154147
891	88147	154060
892	88253	153974
893	88355	153880
894	88462	153795
895	88561	153697
896	88658	153595
897	88758	153498
898	88862	153409
899	88960	153309
900	89058	153208
901	89156	153108
902	89256	153011
903	89360	152920
904	89456	152816
905	89554	152716
906	89658	152627
907	89757	152528
908	89855	152428
909	89953	152328
910	90052	152229
911	90148	152125
912	90245	152023
913	90341	151920
914	90436	151815
915	90529	151706
916	90627	151605
917	90727	151509
918	90825	151408
919	90923	151308
920	91020	151207
921	91121	151110
922	91215	151004
923	91319	150914
924	91426	150828
925	91527	150733
926	91630	150642
927	91730	150544
928	91828	150444
929	91925	150342
930	92025	150245
931	92121	150142
932	92221	150044
933	92291	149899
934	92387	149796
935	92487	149698
936	92584	149597
937	92684	149501
938	92787	149408
939	92882	149303
940	92982	149206
941	93078	149104
942	93177	149005
943	93278	148909
944	93377	148811
945	93478	148715
946	93580	148621
947	93688	148537
948	93776	148422
949	93880	148331
950	93979	148232
951	94070	148121
952	94156	148002
953	94252	147899
954	94338	147780
955	94438	147683
956	94534	147580
957	94654	147514
958	94755	147419
959	94852	147317
960	94950	147218
961	95049	147119
962	95151	147025
963	95246	146920
964	95344	146821
965	95457	146743
966	95552	146638
967	95651	146540
968	95750	146442
969	95849	146343
970	95954	146253
971	96051	146152
972	96154	146059
973	96251	145959
974	96349	145857
975	96447	145758
976	96539	145649
977	96635	145546
978	96732	145444
979	96829	145343
980	96929	145246
981	97027	145146
982	97124	145044
983	97223	144946
984	97319	144842
985	97418	144744
986	97518	144647
987	97614	144544
988	97723	144460
989	97821	144360
990	97921	144263
991	98021	144167
992	98126	144076
993	98225	143978
994	98322	143877
995	98425	143784
996	98529	143692
997	98625	143590
998	98722	143487
999	98820	143388
1000	98917	143286
1001	99014	143186
1002	99111	143084
1003	99211	142986
1004	99309	142887
1005	99408	142789
1006	99507	142690
1007	99599	142581
1008	99703	142489
1009	99807	142398
1010	99907	142301
1011	100005	142201
1012	100104	142102
1013	100202	142003
1014	100296	141897
1015	100394	141797
1016	100497	141704
1017	100597	141607
1018	100714	141534
1019	100812	141433
1020	100910	141333
1021	101007	141232
1022	101106	141133
1023	101217	141052
1024	101322	140961
1025	101419	140861
1026	101516	140759
1027	101603	140643
1028	101701	140543
1029	101798	140442
1030	101900	140347
1031	101999	140248
1032	102100	140153
1033	102202	140059
1034	102301	139959
1035	102400	139861
1036	102501	139765
1037	102605	139673
1038	102702	139572
1039	102798	139469
1040	102894	139367
1041	103003	139282
1042	103114	139199
1043	103229	139122
1044	103329	139025
1045	103419	138914
1046	103520	138818
1047	103619	138719
1048	103710	138609
1049	103809	138511
1050	103910	138415
1051	104008	138314
1052	104111	138222
1053	104217	138132
1054	104313	138030
1055	104409	137926
1056	104507	137826
1057	104605	137727
1058	104707	137632
1059	104806	137533
1060	104907	137437
1061	105004	137336
1062	105106	137241
1063	105203	137140
1064	105303	137043
1065	105405	136947
1066	105509	136855
1067	105600	136746
1068	105705	136655
1069	105807	136561
1070	105907	136462
1071	106009	136368
1072	106106	136266
1073	106208	136172
1074	106315	136083
1075	106417	135988
1076	106516	135889
1077	106612	135787
1078	106709	135686
1079	106809	135589
1080	106913	135496
1081	107008	135392
1082	107108	135294
1083	107213	135204
1084	107317	135110
1085	107404	134997
1086	107504	134899
1087	107601	134798
1088	107709	134711
1089	107804	134607
1090	107902	134506
1091	107997	134402
1092	108100	134310
1093	108196	134207
1094	108293	134106
1095	108392	134006
1096	108495	133913
1097	108591	133810
1098	108682	133702
1099	108783	133605
1100	108881	133505
1101	108979	133405
1102	109077	133305
1103	109175	133206
1104	109271	133103
1105	109370	133004
1106	109456	132890
1107	109553	132789
1108	109674	132716
1109	109771	132616
1110	109876	132524
1111	109973	132422
1112	110071	132323
1113	110171	132225
1114	110269	132126
1115	110365	132022
1116	110463	131922
1117	110559	131821
1118	110661	131725
1119	110753	131619
1120	110855	131523
1121	110950	131419
1122	111051	131324
1123	111148	131222
1124	111249	131125
1125	111352	131031
1126	111460	130943
1127	111563	130849
1128	111663	130751
1129	111771	130663
1130	111867	130561
1131	111966	130463
1132	112070	130370
1133	112156	130256
1134	112255	130157
1135	112353	130057
1136	112457	129964
1137	112555	129864
1138	112653	129764
1139	112760	129674
1140	112862	129578
1141	112961	129480
1142	113059	129380
1143	113181	129307
1144	113281	129209
1145	113379	129110
1146	113479	129012
1147	113576	128911
1148	113673	128810
1149	113787	128728
1150	113886	128628
1151	113989	128534
1152	114087	128434
1153	114186	128335
1154	114285	128237
1155	114385	128139
1156	114483	128039
1157	114586	127944
1158	114691	127853
1159	114789	127752
1160	114886	127652
1161	114982	127549
1162	115083	127452
1163	115184	127356
1164	115282	127256
1165	115379	127155
1166	115476	127054
1167	115567	126946
1168	115666	126847
1169	115763	126746
1170	115870	126656
1171	115966	126553
1172	116062	126451
1173	116156	126347
1174	116254	126247
1175	116354	126149
1176	116460	126058
1177	116558	125958
1178	116664	125867
1179	116773	125778
1180	116880	125688
1181	116987	125597
1182	117097	125510
1183	117203	125419
1184	117308	125327
1185	117415	125236
1186	117522	125145
1187	117629	125055
1188	117735	124964
1189	117842	124873
1190	117954	124788
1191	118059	124695
1192	118164	124602
1193	118272	124512
1194	118377	124419
1195	118490	124336
1196	118605	124253
1197	118703	124153
1198	118812	124063
1199	118920	123975
1200	119026	123882
1201	119130	123788
1202	119242	123702
1203	119348	123610
1204	119453	123517
1205	119569	123436
1206	119687	123356
1207	119793	123264
1208	119908	123181
1209	120014	123089
1210	120124	123001
1211	120231	122909
1212	120338	122818
1213	120445	122727
1214	120555	122639
1215	120664	122549
1216	120776	122463
1217	120880	122368
1218	120994	122284
1219	121100	122191
1220	121220	122114
1221	121313	122008
1222	121419	121915
1223	121523	121821
1224	121638	121737
1225	121747	121648
1226	121850	121553
1227	121957	121461
1228	122079	121383
1229	122185	121291
1230	122289	121197
1231	122396	121104
1232	122499	121009
1233	122606	120917
1234	122722	120834
1235	122833	120746
1236	122938	120652
1237	123048	120563
1238	123153	120469
1239	123260	120378
1240	123371	120290
1241	123477	120196
1242	123592	120112
1243	123698	120019
1244	123804	119926
1245	123918	119840
1246	124025	119749
1247	124130	119654
1248	124244	119569
1249	124348	119473
1250	124465	119391
1251	124578	119305
1252	124678	119206
1253	124777	119105
1254	124872	119001
1255	124971	118901
1256	125068	118800
1257	125164	118697
1258	125267	118601
1259	125365	118500
1260	125466	118402
1261	125565	118302
1262	125668	118206
1263	125762	118101
1264	125860	118000
1265	125959	117900
1266	126052	117794
1267	126140	117684
1268	126239	117584
1269	126334	117481
1270	126432	117380
1271	126535	117284
1272	126636	117185
1273	126732	117083
1274	126829	116981
1275	126927	116880
1276	127033	116787
1277	127130	116685
1278	127228	116584
1279	127324	116481
1280	127423	116382
1281	127521	116281
1282	127610	116172
1283	127715	116077
1284	127817	115980
1285	127909	115874
1286	128004	115770
1287	128103	115671
1288	128202	115571
1289	128315	115483
1290	128415	115384
1291	128516	115286
1292	128612	115184
1293	128702	115076
1294	128797	114972
1295	128900	114876
1296	129001	114778
1297	129098	114677
1298	129194	114574
1299	129299	114480
1300	129400	114381
1301	129500	114282
1302	129598	114181
1303	129695	114080
1304	129792	113978
1305	129895	113882
1306	129996	113784
1307	130094	113683
1308	130193	113583
1309	130291	113482
1310	130401	113392
1311	130496	113289
1312	130608	113200
1313	130710	113103
1314	130813	113007
1315	130911	112906
1316	131009	112805
1317	131104	112701
1318	131203	112602
1319	131301	112501
1320	131402	112403
1321	131503	112305
1322	131602	112205
1323	131698	112103
1324	131795	112001
1325	131883	111891
1326	131983	111793
1327	132074	111686
1328	132173	111586
1329	132277	111490
1330	132375	111390
1331	132468	111285
1332	132572	111190
1333	132673	111091
1334	132776	110995
1335	132873	110893
1336	132974	110795
1337	133069	110692
1338	133168	110592
1339	133265	110491
1340	133363	110390
1341	133462	110290
1342	133563	110192
1343	133653	110085
1344	133751	109984
1345	133847	109882
1346	133939	109776
1347	134043	109681
1348	134133	109573
1349	134229	109471
1350	134325	109369
1351	134423	109269
1352	134520	109167
1353	134621	109069
1354	134724	108972
1355	134836	108883
1356	134930	108779
1357	135033	108682
1358	135135	108585
1359	135235	108486
1360	135333	108386
1361	135437	108290
1362	135536	108190
1363	135633	108089
1364	135731	107988
1365	135829	107887
1366	135927	107787
1367	136026	107687
1368	136129	107590
1369	136224	107488
1370	136327	107391
1371	136425	107290
1372	136525	107191
1373	136620	107088
1374	136717	106987
1375	136815	106887
1376	136917	106790
1377	137016	106689
1378	137114	106589
1379	137217	106492
1380	137314	106391
1381	137413	106291
1382	137511	106191
1383	137609	106090
1384	137707	105989
1385	137805	105889
1386	137900	105786
1387	138001	105688
1388	138107	105594
1389	138214	105500
1390	138322	105407
1391	138431	105315
1392	138544	105225
1393	138650	105131
1394	138754	105035
1395	138860	104940
1396	138968	104848
1397	139073	104753
1398	139190	104666
1399	139294	104570
1400	139409	104482
1401	139513	104386
1402	139621	104292
1403	139729	104200
1404	139845	104112
1405	139953	104019
1406	140058	103924
1407	140164	103828
1408	140273	103736
1409	140387	103648
1410	140493	103553
1411	140597	103456
1412	140714	103370
1413	140818	103273
1414	140925	103179
1415	141033	103085
1416	141155	103002
1417	141260	102907
1418	141366	102812
1419	141477	102720
1420	141586	102627
1421	141694	102534
1422	141805	102442
1423	141911	102347
1424	142018	102253
1425	142134	102165
1426	142240	102069
1427	142347	101976
1428	142443	101873
1429	142548	101777
1430	142658	101685
1431	142769	101593
1432	142874	101497
1433	142974	101398
1434	143082	101304
1435	143192	101211
1436	143295	101114
1437	143401	101019
1438	143513	100928
1439	143618	100832
1440	143727	100738
1441	143831	100642
1442	143937	100546
1443	144040	100449
1444	144145	100353
1445	144251	100258
1446	144357	100162
1447	144461	100065
1448	144565	99968
1449	144671	99873
1450	144777	99777
1451	144885	99683
1452	144991	99588
1453	145101	99495
